,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
301,4,7,14,2.3276438731043037,6.305556993636644,6.1557248963871,-0.6866330137026239,0.999749764259551,0.991887913286315
302,4,7,15,2.3276438731043037,4.3409612990672946,4.1340359214694775,-0.6866330137026239,-0.3629461293102071,-0.5466455894766225
303,4,7,16,2.3276438731043037,3.096187817300496,2.868838266615948,-0.6866330137026239,-0.9989693774998972,-0.9630325598073528
304,4,8,9,1.4074686497396667,1.5000043333270756,2.3658455148212854,0.1626024920313541,0.07073287919500554,-0.7138980496969917
305,4,8,10,1.4074686497396667,2.5117565566750324,3.4988142277062955,0.1626024920313541,-0.8081240601016838,-0.9368719778706491
306,4,8,11,1.4074686497396667,2.762980274992929,3.8304072890490364,0.1626024920313541,-0.9291784385249969,-0.7720000015904702
307,4,8,12,1.4074686497396667,3.7506971352003373,4.606291892618182,0.1626024920313541,-0.8201607024625039,-0.10589815116146314
308,4,8,13,1.4074686497396667,4.205015695571186,4.855152417792875,0.1626024920313541,-0.48588311414604846,0.14227897827138275
309,4,8,14,1.4074686497396667,5.543062059908765,6.1557248963871,0.1626024920313541,0.7383854489763142,0.991887913286315
310,4,8,15,1.4074686497396667,3.717609043457907,4.1340359214694775,0.1626024920313541,-0.8386391208815646,-0.5466455894766225
311,4,8,16,1.4074686497396667,2.4769596282539634,2.868838266615948,0.1626024920313541,-0.787143177204152,-0.9630325598073528
312,4,9,10,2.3658455148212854,1.402132661341289,3.4988142277062955,-0.7138980496969917,0.16786512742452592,-0.9368719778706491
313,4,9,11,2.3658455148212854,2.2799923245484863,3.8304072890490364,-0.7138980496969917,-0.6512238357562826,-0.7720000015904702
314,4,9,12,2.3658455148212854,2.377300990619405,4.606291892618182,-0.7138980496969917,-0.721872726022373,-0.10589815116146314
315,4,9,13,2.3658455148212854,2.7050822538325905,4.855152417792875,-0.7138980496969917,-0.9062325099489531,0.14227897827138275
316,4,9,14,2.3658455148212854,4.043187356529498,6.1557248963871,-0.7138980496969917,-0.6203600046736052,0.991887913286315
317,4,9,15,2.3658455148212854,2.352245310336488,4.1340359214694775,-0.7138980496969917,-0.7043087825698406,-0.5466455894766225
318,4,9,16,2.3658455148212854,1.3643012863733583,2.868838266615948,-0.7138980496969917,0.20503066760540342,-0.9630325598073528
319,4,10,11,3.4988142277062955,1.2385382513269452,3.8304072890490364,-0.9368719778706491,0.32617843545509523,-0.7720000015904702
320,4,10,12,3.4988142277062955,1.357930778795443,4.606291892618182,-0.9368719778706491,0.2112616346720591,-0.10589815116146314
321,4,10,13,3.4988142277062955,2.3322191149203793,4.855152417792875,-0.9368719778706491,-0.6899520355309156,0.14227897827138275
322,4,10,14,3.4988142277062955,3.5397406684671084,6.1557248963871,-0.9368719778706491,-0.9217806110175106,0.991887913286315
323,4,10,15,3.4988142277062955,2.7663625937320653,4.1340359214694775,-0.9368719778706491,-0.9304233326823877,-0.5466455894766225
324,4,10,16,3.4988142277062955,2.402117815595231,2.868838266615948,-0.9368719778706491,-0.7388225672722095,-0.9630325598073528
325,4,11,12,3.8304072890490364,2.2694953183472357,4.606291892618182,-0.7720000015904702,-0.6432220761628643,-0.10589815116146314
326,4,11,13,3.8304072890490364,3.4712967317704235,4.855152417792875,-0.7720000015904702,-0.9461381935071713,0.14227897827138275
327,4,11,14,3.8304072890490364,4.558288384909406,6.1557248963871,-0.7720000015904702,-0.15349141492847201,0.991887913286315
328,4,11,15,3.8304072890490364,4.004083041096928,4.1340359214694775,-0.7720000015904702,-0.650548125246604,-0.5466455894766225
329,4,11,16,3.8304072890490364,3.518694218030322,2.868838266615948,-0.7720000015904702,-0.9297358223295418,-0.9630325598073528
330,4,12,13,4.606291892618182,1.334469932220279,4.855152417792875,-0.10589815116146314,0.23413271805733255,0.14227897827138275
331,4,12,14,4.606291892618182,2.289044342078147,6.1557248963871,-0.10589815116146314,-0.6580665085238463,0.991887913286315
332,4,12,15,4.606291892618182,2.412521916998889,4.1340359214694775,-0.10589815116146314,-0.7457937780657458,-0.5466455894766225
333,4,12,16,4.606291892618182,2.751724913576936,2.868838266615948,-0.10589815116146314,-0.9249593354824822,-0.9630325598073528
334,4,13,14,4.855152417792875,1.3381681508689378,6.1557248963871,0.14227897827138275,0.23053569981341657,0.991887913286315
335,4,13,15,4.855152417792875,1.4257994248841608,4.1340359214694775,0.14227897827138275,0.14448936413220917,-0.5466455894766225
336,4,13,16,4.855152417792875,2.365769642209487,2.868838266615948,0.14227897827138275,-0.7138449178722293,-0.9630325598073528
337,4,14,15,6.1557248963871,2.3980496241737788,4.1340359214694775,0.991887913286315,-0.7360749068078081,-0.5466455894766225
338,4,14,16,6.1557248963871,3.59059020218125,2.868838266615948,0.991887913286315,-0.9008826816584031,-0.9630325598073528
339,4,15,16,4.1340359214694775,1.338229427265743,2.868838266615948,-0.5466455894766225,0.23047607353295727,-0.9630325598073528
340,5,6,7,1.4228035704200364,2.4313348185718846,1.5235501304518964,0.14745312831839522,-0.7581937852128153,0.04722862112060991
341,5,6,8,1.4228035704200364,3.053948755300254,2.362216120510565,0.14745312831839522,-0.9961617314468387,-0.7113518712678499
342,5,6,9,1.4228035704200364,4.51066137057527,3.7120802793043115,0.14745312831839522,-0.20036220610886377,-0.8416377366162404
343,5,6,10,1.4228035704200364,5.331040986524114,4.808566938288371,0.14745312831839522,0.5799375298109555,0.09602974891735408
344,5,6,11,1.4228035704200364,5.097981070973093,4.913205979805852,0.14745312831839522,0.3761078195146524,0.19946997822808127
345,5,6,12,1.4228035704200364,6.641138306043624,6.017496157040732,0.14745312831839522,0.9366159681268831,0.9649117769124298
346,5,6,13,1.4228035704200364,7.180709853489415,6.32265529662973,0.14745312831839522,0.62354715120743,0.9992211610857475
347,5,6,14,1.4228035704200364,8.509812336356186,7.640671698221299,0.14745312831839522,-0.6098178198761601,0.21169597151909875
348,5,6,15,1.4228035704200364,6.61146201683107,5.548250715315591,0.14745312831839522,0.9465993587306915,0.7418746136713167
349,5,6,16,1.4228035704200364,5.311224905800918,4.226424256981305,0.14745312831839522,0.5636813388347258,-0.4670616089960777
350,5,7,8,1.5235501304518964,1.51790579417828,2.362216120510565,0.04722862112060991,0.052865876661780914,-0.7113518712678499
351,5,7,9,1.5235501304518964,2.523901939458029,3.7120802793043115,0.04722862112060991,-0.8152180616300908,-0.8416377366162404
352,5,7,10,1.5235501304518964,3.5715919419776965,4.808566938288371,0.04722862112060991,-0.9089660463249608,0.09602974891735408
353,5,7,11,1.5235501304518964,3.8250388233323847,4.913205979805852,0.04722862112060991,-0.7754011782906741,0.19946997822808127
354,5,7,12,1.5235501304518964,4.702560260113634,6.017496157040732,0.04722862112060991,-0.009828562023293927,0.9649117769124298
355,5,7,13,1.5235501304518964,5.007295577454962,6.32265529662973,0.04722862112060991,0.29065048073228733,0.9992211610857475
356,5,7,14,1.5235501304518964,6.305556993636644,7.640671698221299,0.04722862112060991,0.999749764259551,0.21169597151909875
357,5,7,15,1.5235501304518964,4.3409612990672946,5.548250715315591,0.04722862112060991,-0.3629461293102071,0.7418746136713167
358,5,7,16,1.5235501304518964,3.096187817300496,4.226424256981305,0.04722862112060991,-0.9989693774998972,-0.4670616089960777
359,5,8,9,2.362216120510565,1.5000043333270756,3.7120802793043115,-0.7113518712678499,0.07073287919500554,-0.8416377366162404
360,5,8,10,2.362216120510565,2.5117565566750324,4.808566938288371,-0.7113518712678499,-0.8081240601016838,0.09602974891735408
361,5,8,11,2.362216120510565,2.762980274992929,4.913205979805852,-0.7113518712678499,-0.9291784385249969,0.19946997822808127
362,5,8,12,2.362216120510565,3.7506971352003373,6.017496157040732,-0.7113518712678499,-0.8201607024625039,0.9649117769124298
363,5,8,13,2.362216120510565,4.205015695571186,6.32265529662973,-0.7113518712678499,-0.48588311414604846,0.9992211610857475
364,5,8,14,2.362216120510565,5.543062059908765,7.640671698221299,-0.7113518712678499,0.7383854489763142,0.21169597151909875
365,5,8,15,2.362216120510565,3.717609043457907,5.548250715315591,-0.7113518712678499,-0.8386391208815646,0.7418746136713167
366,5,8,16,2.362216120510565,2.4769596282539634,4.226424256981305,-0.7113518712678499,-0.787143177204152,-0.4670616089960777
367,5,9,10,3.7120802793043115,1.402132661341289,4.808566938288371,-0.8416377366162404,0.16786512742452592,0.09602974891735408
368,5,9,11,3.7120802793043115,2.2799923245484863,4.913205979805852,-0.8416377366162404,-0.6512238357562826,0.19946997822808127
369,5,9,12,3.7120802793043115,2.377300990619405,6.017496157040732,-0.8416377366162404,-0.721872726022373,0.9649117769124298
370,5,9,13,3.7120802793043115,2.7050822538325905,6.32265529662973,-0.8416377366162404,-0.9062325099489531,0.9992211610857475
371,5,9,14,3.7120802793043115,4.043187356529498,7.640671698221299,-0.8416377366162404,-0.6203600046736052,0.21169597151909875
372,5,9,15,3.7120802793043115,2.352245310336488,5.548250715315591,-0.8416377366162404,-0.7043087825698406,0.7418746136713167
373,5,9,16,3.7120802793043115,1.3643012863733583,4.226424256981305,-0.8416377366162404,0.20503066760540342,-0.4670616089960777
374,5,10,11,4.808566938288371,1.2385382513269452,4.913205979805852,0.09602974891735408,0.32617843545509523,0.19946997822808127
375,5,10,12,4.808566938288371,1.357930778795443,6.017496157040732,0.09602974891735408,0.2112616346720591,0.9649117769124298
376,5,10,13,4.808566938288371,2.3322191149203793,6.32265529662973,0.09602974891735408,-0.6899520355309156,0.9992211610857475
377,5,10,14,4.808566938288371,3.5397406684671084,7.640671698221299,0.09602974891735408,-0.9217806110175106,0.21169597151909875
378,5,10,15,4.808566938288371,2.7663625937320653,5.548250715315591,0.09602974891735408,-0.9304233326823877,0.7418746136713167
379,5,10,16,4.808566938288371,2.402117815595231,4.226424256981305,0.09602974891735408,-0.7388225672722095,-0.4670616089960777
