atom_name,key,0
-10,11331550.037818313,1
-10,11331560.49680839,1
-10,11331568.801024152,1
-10,11334493.255913096,1
-10,11334502.225632945,1
-10,11547407.730429446,1
-10,11548380.880821547,1
-10,11548381.770244755,1
-10,11654280.206323294,1
-10,11654281.882152025,1
-10,11654283.595952336,1
-10,11654298.77175172,1
-10,11654299.750012944,1
-10,11654302.770244755,1
-10,12590591.050156957,1
-10,12590591.264242569,1
-10,12590592.522453103,1
-10,12590592.885342656,1
-10,12590608.920002505,1
-10,12590609.539487554,1
-10,12590610.570501054,1
-10,12590612.226552967,2
-10,12590615.966645777,1
-10,12590628.348959552,1
-10,12590629.17496157,1
-10,12590636.19117939,2
-10,12590641.66112511,1
-10,12592771.89044342,1
-10,12592772.773009906,1
-10,12592784.397406684,1
-10,12593899.97981071,2
-10,12593912.61950094,1
-10,12831535.41138306,1
-10,12949199.040830411,1
-10,12949235.406716982,1
-10,13849650.490666827,1
-10,13849651.750574289,1
-10,13849677.651330274,2
-10,13849679.075427057,1
-10,13849691.045265777,1
-10,13849699.910297329,1
-10,13849705.165474325,1
-10,13852068.475060921,1
-10,13853269.757227115,1
-10,13853303.981451035,1
-10,14244119.044913452,1
-10,14244122.522630252,1
-10,14244146.965448556,1
-10,14244148.052521367,2
-10,15108713.286823273,1
-10,15108716.020698963,1
-10,15108724.13232761,1
-10,15108724.174060807,1
-10,15108724.176017823,1
-10,15108728.1557633,1
-10,15108732.884601265,1
-10,15108734.871863559,1
-10,15108735.869029839,1
-10,15108742.904003005,1
-10,15108758.871863559,1
-10,15108758.972491838,1
-10,15108775.346905753,1
-10,15108778.033045957,1
-10,15111344.008365622,1
-10,15112654.619511282,1
-10,15396528.868698757,1
-10,15539025.4260592,1
-10,15539051.254501043,1
-10,15539057.51674472,1
-10,15539069.507762061,2
-10,16367759.59139478,1
-10,16367775.166069299,1
-10,16367775.772423876,1
-10,16367784.066586632,1
-10,16367784.578672454,1
-10,16367786.882284123,1
-10,16367788.328917565,1
-10,16367790.294897467,1
-10,16367790.658525117,1
-10,16367794.04165137,2
-10,16367801.133283382,1
-10,16367827.348533208,1
-10,16367833.55919693,1
-10,16367834.459462643,2
-10,16367835.194518857,2
-10,16370655.972240917,1
-10,16372052.05663951,1
-10,16372070.273753922,1
-10,16679552.257749004,1
-10,16680959.795294758,1
-10,16681020.627560373,1
-10,16833987.02442365,1
-10,16834017.627560373,1
-10,17626834.871151555,1
-10,17626843.587014224,1
-10,17626847.002287187,1
-10,17626849.700266194,1
-10,17626859.258365188,1
-10,17626862.83584364,2
-10,17626881.102138083,1
-10,17626885.35559874,1
-10,17626891.547112256,1
-10,17626891.700266194,1
-10,17626911.52993795,1
-10,17631434.509198148,1
-10,17631463.63457381,1
-10,17964160.80289025,1
-10,18128861.68172385,1
-10,18128888.83584364,1
-10,18128892.707498677,1
-10,18128914.592389073,1
-10,18128929.969403774,1
-10,18885921.605455514,1
-10,18885938.094943218,1
-10,18885941.827286266,1
-10,18885954.43363219,1
-10,18885968.171930254,1
-10,19423794.68120419,1
-10,19423796.37558235,1
-10,19423833.583354905,1
-10,19423838.61707459,1
-10,19423866.647185046,1
-10,20144960.53900508,1
-10,20144971.228875652,2
-10,20144982.152417358,1
-10,20144986.14663324,1
-10,20145009.512801684,1
-10,20718763.053842578,1
-10,20718773.63187457,1
-10,20718774.424019292,1
